id_Uni,CleeUni,Nombre_de_la_Unidad_Economica,Razon_social,Nombre_de_clase_de_la_actividad,Descripcion_estrato_personal_ocupado,Nombre_de_la_vialidad,Numero_exterior_o_kilometro,Letra_exterior,Nombre_de_asentamiento_humano,Codigo_postal,Entidad_federetiva,Municipio,Localidad,Numero_de_telefono,Correo_electronico,Sitio_en_Internet,Latitud,Longitud,Fecha_de_incorporacion_al_denue
3006480,19046468211001223011000000U7,ABASTECEDORA DE CONEXIONES MANGUERAS Y EMPAQUES,ABASTECEDORA DE CONEXIONES MANGUERAS Y EMPAQUES SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,GENERAL TOMAS URBINA,200,,FRANCISCO VILLA,66430,NUEVO LEÓN   ,San Nicolás de los Garza,San Nicolás de los Garza,,INFO@ACME-MX.COM,WWW.ACME-MX.COM,25.75057966,-100.2767867,2010-07
6367797,19026436112000063000000000U9,ACCESORIOS Y REFACCIONEZ NAÑEZ,ACCESORIOS Y REFACCIONES NAÑEZ SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",11 a 30 personas,ADOLFO RUÍZ CORTINES,310,,HERCULES,,NUEVO LEÓN   ,Guadalupe,Guadalupe,,ADMINISTRACIO@NANEZ.MX,WWW.NANEZ.MX,25.70299654,-100.2501045,2010-07
6367386,19012436112000011000000000U8,ACCURIDE DE MEXICO,ACCURIDE DE MEXICO SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,NORTEAMÉRICA,301,,LAS AMERICAS,,NUEVO LEÓN   ,Ciénega de Flores,Las Americas [Parque Industrial],,JC.ALANIS@LEVELIS.COM.MX,,25.94657786,-100.2286562,2014-12
7319019,19045434225000011000000000U0,ACUMULADORES TREVIÑO,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,JOSE MARIA MORELOS Y PAVON,0,SN,CENTRO,65500,NUEVO LEÓN   ,Salinas Victoria,Salinas Victoria,,,,25.96312422,-100.2935636,2019-11
11209641,19039436112001511000000000U9,AGEUS GRUPO IMPORTADOR,AGEUS GRUPO IMPORTADOR SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,GENERAL BERNARDO REYES,1815,,INDUSTRIAL,64440,NUEVO LEÓN   ,Monterrey,Monterrey,,FACTURAS@AGEUS.COM.MX,WWW.AGEUS.COM.MX,25.69383629,-100.3240495,2024-11
8279919,19039436112001241000000000U3,ALARMAS APRYCSA,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,CHAPULTEPEC,2335,,BUENOS AIRES,64800,NUEVO LEÓN   ,Monterrey,Monterrey,8182732149,SERVICIODEALARMA@GMAIL.COM,,25.66630179,-100.2720691,2019-11
6224026,19039468211001931000000000U0,ALEMANAS D ANGEL REFACCIONES Y ACCESORIOS,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,JOSE MARIA ARTEAGA,1582,,CENTRO,64000,NUEVO LEÓN   ,Monterrey,Monterrey,8182529096,FRANCIS_ALEMANAS@HOTMAIL.COM,,25.68463116,-100.3276017,2010-07
10017984,19026436112000562000000000U0,ALFA SUSPENSION AUTOMOTRIZ,GEYS SA DE CV,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",6 a 10 personas,POZA RICA,605,,VICENTE GUERRERO,67160,NUEVO LEÓN   ,Guadalupe,Guadalupe,8126150698,FACTURAS@ALPHAREFACCIONARIA.COM,WWW.ALPHAREFACCIONARIA.COM,25.69065063,-100.2297208,2024-11
11146506,19039436111000331000000000S5,ALMACEN DE CARROS NUEVOS,,Comercio al por mayor de camiones,0 a 5 personas,ABISAL,107,,MORELOS,64180,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.72030476,-100.3431529,2024-11
10010879,19039436112001621000000000U6,AM ELECTRONICS,,"Comercio al por mayor de partes y refacciones nuevas para automóviles, camionetas y camiones",0 a 5 personas,PABLO A DE LA GARZA,2051,,ARGENTINA,64550,NUEVO LEÓN   ,Monterrey,Monterrey,,,,25.69111231,-100.2873457,2024-11
